@relation 'raw-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 4 numeric
@attribute 3 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 28 numeric
@attribute 30 numeric
@attribute 29 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 32 numeric
@attribute 25 numeric
@attribute 31 numeric
@attribute 34 numeric
@attribute 33 numeric
@attribute 38 numeric
@attribute 40 numeric
@attribute 39 numeric
@attribute 37 numeric
@attribute 23 numeric
@attribute 36 numeric
@attribute 35 numeric
@attribute 24 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 8 numeric
@attribute 10 numeric
@attribute 9 numeric
@attribute 7 numeric
@attribute 12 numeric
@attribute 6 numeric
@attribute 5 numeric
@attribute 11 numeric
@attribute 13 numeric
@attribute 83 numeric
@attribute 18 numeric
@attribute 20 numeric
@attribute 19 numeric
@attribute 17 numeric
@attribute 14 numeric
@attribute 16 numeric
@attribute 15 numeric
@attribute 41 numeric
@attribute 84 numeric
@attribute 43 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 64 numeric
@attribute 70 numeric
@attribute 69 numeric
@attribute 68 numeric
@attribute 67 numeric
@attribute 66 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 80 numeric
@attribute 82 numeric
@attribute 81 numeric
@attribute 79 numeric
@attribute 76 numeric
@attribute 78 numeric
@attribute 77 numeric
@attribute 65 numeric
@attribute 63 numeric
@attribute 44 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 62 numeric
@attribute 49 numeric
@attribute 48 numeric
@attribute 47 numeric
@attribute 46 numeric
@attribute 45 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 59 numeric
@attribute 61 numeric
@attribute 60 numeric
@attribute 58 numeric
@attribute 55 numeric
@attribute 57 numeric
@attribute 56 numeric
@attribute 42 numeric
@attribute class {1,0,2}

@data

0.2,1.4,5.1,3.5,-0.742165,-1.454366,2.269755,0.653619,0.864436,-0.187184,-2.55299,0.045759,1.469359,1.532779,-1.980796,0.156349,-0.347912,-0.887786,0.313068,0.378163,0.154947,-0.854096,1.494079,-0.205158,2.240893,-0.977278,1.867558,0.978738,-0.151357,0.400157,1.764052,0.950088,-0.103219,-0.311553,0.121675,0.333674,0.443863,0.761038,0.410599,1.454274,0.144044,1.230291,0.056165,-0.387327,-1.630198,0.462782,-0.362741,-0.401781,0.177426,-1.726283,-0.813146,-0.359553,-0.907298,0.051945,0.729091,-0.68481,-0.57885,-0.870797,0.402342,0.128983,-1.234826,1.139401,-0.67246,-0.634322,-0.302303,-0.438074,-1.252795,0.302472,-0.509652,1.950775,-1.70627,-1.420018,-1.048553,0.77749,-1.613898,-0.21274,-0.028182,0.066517,0.428332,-1.180632,-0.895467,-0.510805,0.386902,1.20238,1
0.2,1.4,4.9,3,0.969397,1.943621,-1.173123,-1.347759,-1.270485,-0.747455,1.883151,-0.413619,1.480515,1.922942,1.910065,0.802456,-0.268003,-0.861226,0.126912,0.906045,1.867559,0.401989,0.0105,1.78587,-1.536244,1.895889,1.488252,0.465662,-0.179925,0.900826,-1.16515,1.17878,-1.070753,-1.147469,0.976639,0.706573,0.356366,0.208275,1.054452,1.222445,-0.403177,0.947252,-0.43782,0.614079,-0.912822,1.117016,-1.093062,0.944479,2.383145,0.635031,0.166673,0.439392,-1.315907,-0.461585,-0.068242,-0.663478,-1.079932,1.126636,-0.098453,1.713343,-0.826439,-0.744755,-1.491258,0.396007,0.922207,-0.149635,-0.435154,-0.208299,-0.694568,1.326386,0.298238,-1.099401,0.376426,1.849264,0.672295,0.407462,-0.635846,0.576591,0.676433,0.031831,-0.769916,-0.674333,0.539249,-0.15501,1
0.2,1.3,4.7,3.2,-2.223403,-1.602058,0.625231,-1.374951,-0.643618,0.052165,-0.353994,-1.104383,1.543015,-0.739563,-1.168093,-0.171546,0.523277,-0.039283,-0.455533,0.267051,-1.292857,0.017479,-0.80341,-0.68955,0.087551,0.844363,-1.225436,0.949421,-1.544771,1.929532,-0.498032,-1.000215,1.18803,0.426259,-0.651026,0.681595,-1.034243,0.856831,0.316943,0.318728,0.920859,0.771791,0.676908,2.163236,0.156507,0.232181,-0.042257,0.063262,-1.540797,0.481481,-0.463596,-0.345982,-0.597316,-0.237922,-1.424061,0.781198,-2.069985,1.494485,-1.156182,-0.49332,0.41605,-0.542861,-0.955945,2.259309,1.336528,-1.616956,-0.024326,0.379152,0.640132,0.655264,1.09966,-0.239379,-0.369182,-0.738031,0.279925,-0.09815,-0.944446,-0.01702,-0.41005,-0.466419,0.910179,0.786328,0.317218,0.823504,1
0.2,1.5,4.6,3.1,-0.052567,0.188779,-1.93628,-0.506816,-0.596314,0.088422,-1.188859,0.523891,0.0974,-0.310886,0.390093,-0.390953,-0.652409,1.955912,-1.582938,-2.772593,0.399046,0.610379,-0.725597,-1.383364,-0.297791,-1.676004,-0.309013,-0.132881,1.079619,-0.397272,-0.637437,1.152332,-0.813364,-0.061626,-0.319328,0.694749,0.691539,0.141953,-1.466424,-0.575788,0.521065,0.493742,-0.107305,-2.030684,-1.334258,-1.346718,0.370056,-0.46072,0.666383,-0.680178,-0.118164,1.658131,0.693773,-0.159573,-0.133702,0.094352,-0.286887,-0.042171,-0.38488,1.077744,-0.730678,-1.126826,-1.306527,-0.399449,2.064493,0.608844,-1.045253,0.582954,0.286344,1.536377,-0.69205,1.020173,-0.110541,1.211145,0.689818,1.301846,-0.13595,0.097725,1.136891,-1.060016,-0.628088,2.303917,-0.481027,-0.116104,1
0.2,1.4,5,3.6,-1.214077,-0.280355,-0.440923,-0.453386,-0.687838,0.156704,1.068509,-0.364694,0.349654,0.578521,-0.689449,-0.521189,-0.652294,1.364532,-0.684011,-1.437791,-0.764144,1.659551,-1.755891,0.450934,-0.890915,-0.312292,-1.157355,0.274516,2.256723,-0.812993,-0.719604,-0.157667,-0.7047,1.466579,-1.183881,0.60632,-2.659172,0.773253,0.943261,-1.188945,0.747188,-1.84307,0.852552,-0.479656,-0.985511,-1.471835,0.880179,-1.656715,0.038631,-1.022507,-2.255564,0.38728,1.648135,0.164228,0.56729,-0.761492,1.141102,0.857924,-0.291837,-0.222675,-1.616474,-0.353432,-1.698106,-0.206904,0.620358,0.160928,-0.190653,-1.570623,-0.015682,0.339965,0.931848,0.003771,0.698457,-0.39485,-0.267734,-1.128011,0.049495,0.643314,0.493837,-0.249459,0.280442,0.841631,-0.993124,-0.477974,1
0.4,1.7,5.4,3.9,0.123722,0.093953,-0.130107,0.582225,-2.094603,-2.739677,0.929505,0.943046,0.269904,-0.569312,0.276872,0.314817,-0.971105,0.868963,1.519995,-1.416906,-0.466846,1.719589,0.370825,0.142062,0.356293,0.355482,-1.768538,0.766663,0.058926,-1.115897,-0.598654,0.81452,-0.185054,1.128594,-0.233467,0.684501,1.732721,-0.309114,-0.807648,0.800298,-1.446535,0.821586,0.496001,0.800565,-0.960504,-0.793117,-0.050604,2.412454,-0.502817,0.181338,-0.43919,-0.97883,-2.28862,0.251484,-2.016407,0.994394,-0.882419,1.319137,1.738873,-0.539455,-0.709728,-0.275671,-0.517519,0.1993,0.07826,-0.115107,0.457416,-2.201441,0.875833,0.194293,-0.085931,-1.159421,-0.395229,-0.964612,-0.782629,-0.110389,0.338904,-0.468864,2.021044,0.279096,-1.054628,0.46313,0.820248,0.005293,1
0.3,1.4,4.6,3.4,-0.234216,-0.581268,-0.347451,-0.034242,1.096347,-1.567768,0.382732,-1.632635,1.301428,-1.179158,-1.968625,0.175819,-0.660056,-1.332212,-1.018042,1.374964,0.89526,-0.077855,-0.658553,-0.514234,-0.424318,-2.655619,0.862596,-0.908763,0.553132,1.029439,0.771406,1.513328,-0.045704,-1.347925,1.298022,-0.073925,2.696224,1.100284,0.220508,-0.349943,-1.029935,0.49869,-0.761573,0.28428,1.078197,-2.559185,-0.109883,-0.443836,-0.384645,1.518261,-0.24202,-1.208574,1.181379,-0.631904,0.163929,1.297846,0.020334,-2.364174,-0.678026,0.096321,-0.267595,0.942468,0.21348,-0.202897,1.742669,-0.88872,0.936742,-0.182245,0.242118,-0.888971,-1.681218,-0.913079,-0.222606,1.412328,-2.369587,0.864052,-1.279689,-0.261645,-0.585431,0.064856,-2.239604,1.224871,0.401499,1.047972,1
0.2,1.5,5,3.4,0.784958,-0.470638,-0.55431,-0.659892,-1.139802,0.445393,-1.951804,-0.21695,-3.046143,-0.392389,-1.084037,0.379236,0.35178,-0.219541,-0.131054,0.439043,0.543312,1.13308,-0.805627,-1.118312,-1.781563,0.196557,-0.729045,0.19507,0.616887,-0.044595,2.011257,0.354758,0.008628,0.820322,0.767902,-0.363859,0.58988,0.037006,0.527004,-1.82974,0.453782,-0.470033,1.359949,-0.930157,0.183339,1.670943,-1.506998,-1.226196,-0.375147,-0.30225,-0.224259,-0.382009,-0.056133,-0.001385,-0.687299,0.403265,0.252497,-0.918005,-0.453804,-0.117475,-0.370242,0.466166,0.676461,1.285984,-0.178589,-0.590058,-0.110489,0.329623,-1.405963,0.238103,-0.944368,0.417319,-1.550429,-1.6607,0.115148,-0.379148,-0.131909,0.223844,0.404762,0.895556,-1.742356,0.60512,-1.303243,-0.216731,1
0.2,1.4,4.4,2.9,0.097896,-0.649338,-0.448165,-1.263068,0.452489,1.079195,-0.932741,-0.023423,0.376877,-2.004216,-0.912783,0.393063,0.21951,-1.945703,-0.370704,-1.884586,-0.545712,-0.945616,-0.067276,-1.318396,-0.996213,-0.304964,-1.217939,1.03441,-0.072287,1.367597,-0.090382,1.028935,-0.600658,1.021791,0.520041,0.449712,0.225609,0.317161,1.552243,-2.320594,0.286904,-0.938982,-0.552541,1.422983,0.936446,-0.035095,1.081935,2.132153,0.234822,1.094638,-0.788669,-1.210543,1.265078,0.211497,-0.704921,-0.101281,-0.464338,-0.803141,1.327783,0.679975,-0.290397,-0.696327,-1.44494,0.197967,0.396087,-2.834555,2.116791,-0.794636,-0.656464,0.867407,0.755396,1.124419,-0.591403,-1.610878,-0.035768,2.380745,-0.532703,-0.346249,1.09075,-1.777667,0.330577,-1.502397,0.949246,1.017021,1
