You have specified parameters: threshold=mu+/-0.05*sigma #fea=84 selection method=MID #maxVar=10000 #maxSample=1000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.585

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 3 	 Feature3 	 0.792
2 	 4 	 Feature4 	 0.771
3 	 1 	 Feature1 	 0.487
4 	 2 	 Feature2 	 0.261
5 	 36 	 Feature36 	 0.086
6 	 46 	 Feature46 	 0.077
7 	 14 	 Feature14 	 0.061
8 	 78 	 Feature78 	 0.060
9 	 22 	 Feature22 	 0.054
10 	 49 	 Feature49 	 0.054
11 	 68 	 Feature68 	 0.049
12 	 41 	 Feature41 	 0.047
13 	 7 	 Feature7 	 0.044
14 	 33 	 Feature33 	 0.039
15 	 43 	 Feature43 	 0.039
16 	 47 	 Feature47 	 0.038
17 	 80 	 Feature80 	 0.036
18 	 48 	 Feature48 	 0.036
19 	 74 	 Feature74 	 0.035
20 	 17 	 Feature17 	 0.034
21 	 52 	 Feature52 	 0.034
22 	 10 	 Feature10 	 0.033
23 	 79 	 Feature79 	 0.032
24 	 75 	 Feature75 	 0.032
25 	 31 	 Feature31 	 0.030
26 	 63 	 Feature63 	 0.030
27 	 59 	 Feature59 	 0.029
28 	 56 	 Feature56 	 0.029
29 	 55 	 Feature55 	 0.029
30 	 53 	 Feature53 	 0.028
31 	 54 	 Feature54 	 0.026
32 	 73 	 Feature73 	 0.026
33 	 51 	 Feature51 	 0.026
34 	 72 	 Feature72 	 0.024
35 	 60 	 Feature60 	 0.023
36 	 42 	 Feature42 	 0.023
37 	 29 	 Feature29 	 0.023
38 	 6 	 Feature6 	 0.022
39 	 20 	 Feature20 	 0.021
40 	 57 	 Feature57 	 0.021
41 	 77 	 Feature77 	 0.021
42 	 12 	 Feature12 	 0.020
43 	 76 	 Feature76 	 0.020
44 	 44 	 Feature44 	 0.019
45 	 66 	 Feature66 	 0.019
46 	 28 	 Feature28 	 0.018
47 	 8 	 Feature8 	 0.018
48 	 67 	 Feature67 	 0.018
49 	 39 	 Feature39 	 0.017
50 	 84 	 Feature84 	 0.017
51 	 69 	 Feature69 	 0.016
52 	 23 	 Feature23 	 0.016
53 	 34 	 Feature34 	 0.016
54 	 16 	 Feature16 	 0.015
55 	 25 	 Feature25 	 0.015
56 	 26 	 Feature26 	 0.014
57 	 9 	 Feature9 	 0.013
58 	 45 	 Feature45 	 0.013
59 	 35 	 Feature35 	 0.013
60 	 5 	 Feature5 	 0.013
61 	 62 	 Feature62 	 0.012
62 	 58 	 Feature58 	 0.012
63 	 19 	 Feature19 	 0.011
64 	 24 	 Feature24 	 0.011
65 	 65 	 Feature65 	 0.010
66 	 21 	 Feature21 	 0.010
67 	 81 	 Feature81 	 0.010
68 	 30 	 Feature30 	 0.010
69 	 61 	 Feature61 	 0.010
70 	 38 	 Feature38 	 0.009
71 	 82 	 Feature82 	 0.009
72 	 13 	 Feature13 	 0.008
73 	 71 	 Feature71 	 0.008
74 	 37 	 Feature37 	 0.008
75 	 83 	 Feature83 	 0.007
76 	 18 	 Feature18 	 0.007
77 	 15 	 Feature15 	 0.006
78 	 70 	 Feature70 	 0.006
79 	 32 	 Feature32 	 0.005
80 	 11 	 Feature11 	 0.003
81 	 40 	 Feature40 	 0.002
82 	 50 	 Feature50 	 0.002
83 	 64 	 Feature64 	 0.002

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 3 	 Feature3 	 0.792
2 	 2 	 Feature2 	 0.089
3 	 4 	 Feature4 	 0.301
4 	 1 	 Feature1 	 0.139
5 	 36 	 Feature36 	 0.055
6 	 46 	 Feature46 	 0.055
7 	 78 	 Feature78 	 0.044
8 	 22 	 Feature22 	 0.036
9 	 68 	 Feature68 	 0.032
10 	 14 	 Feature14 	 0.032
11 	 7 	 Feature7 	 0.031
12 	 47 	 Feature47 	 0.030
13 	 41 	 Feature41 	 0.029
14 	 49 	 Feature49 	 0.023
15 	 43 	 Feature43 	 0.020
16 	 33 	 Feature33 	 0.018
17 	 48 	 Feature48 	 0.017
18 	 74 	 Feature74 	 0.017
19 	 10 	 Feature10 	 0.015
20 	 52 	 Feature52 	 0.015
21 	 79 	 Feature79 	 0.015
22 	 80 	 Feature80 	 0.015
23 	 55 	 Feature55 	 0.011
24 	 17 	 Feature17 	 0.011
25 	 51 	 Feature51 	 0.010
26 	 29 	 Feature29 	 0.010
27 	 59 	 Feature59 	 0.010
28 	 73 	 Feature73 	 0.008
29 	 75 	 Feature75 	 0.009
30 	 56 	 Feature56 	 0.008
31 	 31 	 Feature31 	 0.008
32 	 63 	 Feature63 	 0.008
33 	 60 	 Feature60 	 0.007
34 	 54 	 Feature54 	 0.006
35 	 72 	 Feature72 	 0.006
36 	 53 	 Feature53 	 0.006
37 	 6 	 Feature6 	 0.005
38 	 76 	 Feature76 	 0.004
39 	 20 	 Feature20 	 0.002
40 	 8 	 Feature8 	 0.002
41 	 12 	 Feature12 	 0.002
42 	 42 	 Feature42 	 0.001
43 	 77 	 Feature77 	 0.001
44 	 57 	 Feature57 	 0.001
45 	 28 	 Feature28 	 -0.000
46 	 39 	 Feature39 	 -0.000
47 	 67 	 Feature67 	 -0.001
48 	 23 	 Feature23 	 -0.001
49 	 34 	 Feature34 	 -0.002
50 	 44 	 Feature44 	 -0.002
51 	 69 	 Feature69 	 -0.002
52 	 66 	 Feature66 	 -0.003
53 	 84 	 Feature84 	 -0.003
54 	 26 	 Feature26 	 -0.003
55 	 16 	 Feature16 	 -0.004
56 	 25 	 Feature25 	 -0.004
57 	 13 	 Feature13 	 -0.006
58 	 5 	 Feature5 	 -0.006
59 	 9 	 Feature9 	 -0.006
60 	 45 	 Feature45 	 -0.007
61 	 62 	 Feature62 	 -0.007
62 	 24 	 Feature24 	 -0.007
63 	 82 	 Feature82 	 -0.008
64 	 35 	 Feature35 	 -0.008
65 	 58 	 Feature58 	 -0.008
66 	 65 	 Feature65 	 -0.009
67 	 71 	 Feature71 	 -0.009
68 	 21 	 Feature21 	 -0.009
69 	 19 	 Feature19 	 -0.009
70 	 61 	 Feature61 	 -0.009
71 	 30 	 Feature30 	 -0.010
72 	 81 	 Feature81 	 -0.010
73 	 38 	 Feature38 	 -0.010
74 	 15 	 Feature15 	 -0.012
75 	 37 	 Feature37 	 -0.012
